### magnitude offsets  bq -0.055  bB  0.155  ba -0.119  bA  0.007  bb  0.000  br -0.003 
HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459148.776128,2020-10-26.276,bB,2.04,NA,9.260,0.037,NA,NA,g
2459173.747268,2020-11-20.247,bB,2.05,NA,9.251,0.037,NA,NA,g
2459186.739777,2020-12-3.239,bB,2.1,NA,9.167,0.037,NA,NA,g
2459192.723973,2020-12-9.223,bB,2.14,NA,9.267,0.037,NA,NA,g
2459195.714820,2020-12-12.214,bB,2.06,NA,9.234,0.037,NA,NA,g
2459199.696972,2020-12-16.196,bB,2.09,NA,9.267,0.037,NA,NA,g
2459289.135571,2021-3-15.635,bB,2.01,NA,9.158,0.037,NA,NA,g
2459304.110640,2021-3-30.61,bB,2.07,NA,9.092,0.037,NA,NA,g
2459305.093357,2021-3-31.593,bB,2.05,NA,9.065,0.037,NA,NA,g
2459307.086302,2021-4-2.586,bB,2.1,NA,9.126,0.037,NA,NA,g
2459311.087465,2021-4-6.587,bB,2.14,NA,9.178,0.037,NA,NA,g
2459314.072867,2021-4-9.572,bB,2.34,NA,9.158,0.037,NA,NA,g
2459318.053542,2021-4-13.553,bB,2.01,NA,9.153,0.037,NA,NA,g
2459321.044847,2021-4-16.544,bB,2.25,NA,9.302,0.037,NA,NA,g
2459327.050397,2021-4-22.55,bB,2.08,NA,9.148,0.037,NA,NA,g
2459329.024278,2021-4-24.524,bB,2.14,NA,9.053,0.037,NA,NA,g
2459333.048542,2021-4-28.548,bB,2.23,NA,9.082,0.037,NA,NA,g
2459334.115087,2021-4-29.615,bB,2.06,NA,9.067,0.037,NA,NA,g
2459339.028756,2021-5-4.528,bB,2.19,NA,9.149,0.037,NA,NA,g
2459346.011582,2021-5-11.511,bB,2.04,NA,9.176,0.037,NA,NA,g
2459349.975056,2021-5-15.475,bB,2.09,NA,9.240,0.037,NA,NA,g
2459353.072301,2021-5-18.572,bB,2.27,NA,9.251,0.037,NA,NA,g
2459353.084519,2021-5-18.584,bB,2.09,NA,9.186,0.037,NA,NA,g
2459360.936925,2021-5-26.436,bB,2.02,NA,9.184,0.037,NA,NA,g
2459367.919440,2021-6-2.419,bB,2.01,NA,9.134,0.037,NA,NA,g
2459374.941429,2021-6-9.441,bB,2.12,NA,9.203,0.037,NA,NA,g
2459377.013867,2021-6-11.513,bB,2.01,NA,9.171,0.037,NA,NA,g
2459381.887950,2021-6-16.387,bB,2.25,NA,9.133,0.037,NA,NA,g
2459383.996063,2021-6-18.496,bB,2.04,NA,9.142,0.037,NA,NA,g
2459384.026863,2021-6-18.526,bB,2.03,NA,9.200,0.037,NA,NA,g
2459394.945306,2021-6-29.445,bB,2.05,NA,9.163,0.037,NA,NA,g
2459395.022439,2021-6-29.522,bB,2.02,NA,9.145,0.037,NA,NA,g
2459401.092208,2021-7-5.592,bB,2.04,NA,9.194,0.037,NA,NA,g
2459403.024697,2021-7-7.524,bB,2.03,NA,9.220,0.037,NA,NA,g
2459411.924494,2021-7-16.424,bB,2.17,NA,9.147,0.037,NA,NA,g
2459413.807480,2021-7-18.307,bB,2.03,NA,9.136,0.037,NA,NA,g
2459415.914573,2021-7-20.414,bB,2.22,NA,9.198,0.037,NA,NA,g
2459421.943254,2021-7-26.443,bB,2.09,NA,9.185,0.037,NA,NA,g
2459426.792420,2021-7-31.292,bB,2.39,NA,9.146,0.037,NA,NA,g
2459429.829659,2021-8-3.329,bB,2.05,NA,9.145,0.037,NA,NA,g
2459432.832553,2021-8-6.332,bB,2.04,NA,9.208,0.037,NA,NA,g
2459433.847334,2021-8-7.347,bB,2.1,NA,9.229,0.037,NA,NA,g
2459436.788298,2021-8-10.288,bB,2.01,NA,9.179,0.037,NA,NA,g
2459437.879974,2021-8-11.379,bB,2.07,NA,9.226,0.037,NA,NA,g
2459439.863631,2021-8-13.363,bB,2.42,NA,9.279,0.037,NA,NA,g
2459446.971785,2021-8-20.471,bB,2.07,NA,9.129,0.037,NA,NA,g
2459454.003450,2021-8-27.503,bB,2.04,NA,9.213,0.037,NA,NA,g
2459457.829756,2021-8-31.329,bB,2.12,NA,9.220,0.037,NA,NA,g
2459467.916687,2021-9-10.416,bB,2.04,NA,9.267,0.037,NA,NA,g
2459476.741413,2021-9-19.241,bB,2.22,NA,9.086,0.037,NA,NA,g
2459476.772351,2021-9-19.272,bB,2.07,NA,9.090,0.037,NA,NA,g
2459479.746271,2021-9-22.246,bB,2.17,NA,9.141,0.037,NA,NA,g
2459482.922686,2021-9-25.422,bB,2.09,NA,9.153,0.037,NA,NA,g
2459485.918559,2021-9-28.418,bB,2.08,NA,9.215,0.037,NA,NA,g
2459487.795171,2021-9-30.295,bB,2.16,NA,9.249,0.037,NA,NA,g
2459487.822116,2021-9-30.322,bB,2.05,NA,9.197,0.037,NA,NA,g
2459489.909579,2021-10-2.409,bB,2.02,NA,9.104,0.037,NA,NA,g
2459492.848775,2021-10-5.348,bB,2.15,NA,9.259,0.037,NA,NA,g
2459492.891157,2021-10-5.391,bB,2.06,NA,9.244,0.037,NA,NA,g
2459494.821830,2021-10-7.321,bB,2.09,NA,9.205,0.037,NA,NA,g
2459494.868264,2021-10-7.368,bB,2.09,NA,9.238,0.037,NA,NA,g
2459500.802852,2021-10-13.302,bB,2.23,NA,9.203,0.037,NA,NA,g
2459510.848378,2021-10-23.348,bB,2.15,NA,9.193,0.037,NA,NA,g
2459513.835113,2021-10-26.335,bB,2.04,NA,9.240,0.037,NA,NA,g
2459515.780607,2021-10-28.28,bB,2.14,NA,9.298,0.037,NA,NA,g
2459520.742487,2021-11-2.242,bB,2.03,NA,9.251,0.037,NA,NA,g
2459520.793843,2021-11-2.293,bB,2.2,NA,9.318,0.037,NA,NA,g
2459524.793058,2021-11-6.293,bB,2.11,NA,9.196,0.037,NA,NA,g
2459527.795922,2021-11-9.295,bB,2.04,NA,9.364,0.037,NA,NA,g
2459539.751999,2021-11-21.251,bB,2.05,NA,9.165,0.037,NA,NA,g
2459542.744022,2021-11-24.244,bB,2.05,NA,9.239,0.037,NA,NA,g
2459544.759856,2021-11-26.259,bB,2.02,NA,9.240,0.037,NA,NA,g
2459645.157887,2022-3-6.657,bB,2.08,NA,9.080,0.037,NA,NA,g
2459647.151835,2022-3-8.651,bB,2.09,NA,9.107,0.037,NA,NA,g
2459650.148577,2022-3-11.648,bB,2.02,NA,9.134,0.037,NA,NA,g
2459653.137594,2022-3-14.637,bB,2.04,NA,9.166,0.037,NA,NA,g
2459664.113847,2022-3-25.613,bB,2.04,NA,9.180,0.037,NA,NA,g
2459673.100267,2022-4-3.6,bB,2.3,NA,9.176,0.037,NA,NA,g
2458033.737046,2017-10-7.237,bq,1.56,NA,9.189,0.037,NA,NA,g
2458034.733498,2017-10-8.233,bq,1.68,NA,9.196,0.037,NA,NA,g
2458035.739448,2017-10-9.239,bq,1.52,NA,9.209,0.037,NA,NA,g
2458036.673068,2017-10-10.173,bq,1.62,NA,9.224,0.037,NA,NA,g
2458039.659415,2017-10-13.159,bq,1.55,NA,9.165,0.037,NA,NA,g
2458040.650481,2017-10-14.15,bq,1.53,NA,9.195,0.037,NA,NA,g
2458042.650666,2017-10-16.15,bq,2.05,NA,9.200,0.037,NA,NA,g
2458043.638103,2017-10-17.138,bq,1.78,NA,9.137,0.037,NA,NA,g
2458046.616689,2017-10-20.116,bq,1.53,NA,9.171,0.037,NA,NA,g
2458048.620704,2017-10-22.12,bq,1.6,NA,9.205,0.037,NA,NA,g
2458049.633399,2017-10-23.133,bq,1.63,NA,9.187,0.037,NA,NA,g
2458055.563040,2017-10-29.063,bq,1.66,NA,9.126,0.037,NA,NA,g
2458058.676223,2017-11-1.176,bq,1.63,NA,9.155,0.037,NA,NA,g
2458059.664439,2017-11-2.164,bq,1.73,NA,9.105,0.037,NA,NA,g
2458060.663366,2017-11-3.163,bq,1.57,NA,9.155,0.037,NA,NA,g
2458061.648225,2017-11-4.148,bq,1.68,NA,9.065,0.037,NA,NA,g
2458065.554919,2017-11-8.054,bq,1.68,NA,9.184,0.037,NA,NA,g
2458068.586565,2017-11-11.086,bq,2.01,NA,9.004,0.037,NA,NA,g
2458072.544476,2017-11-15.044,bq,1.97,NA,8.970,0.037,NA,NA,g
2458074.540117,2017-11-17.04,bq,1.48,NA,9.168,0.037,NA,NA,g
2458075.536229,2017-11-18.036,bq,1.56,NA,9.118,0.037,NA,NA,g
2458085.597570,2017-11-28.097,bq,1.6,NA,9.202,0.037,NA,NA,g
2458086.594210,2017-11-29.094,bq,2.13,NA,9.155,0.037,NA,NA,g
2458087.587103,2017-11-30.087,bq,2.29,NA,8.916,0.037,NA,NA,g
2458091.575304,2017-12-4.075,bq,1.56,NA,9.143,0.037,NA,NA,g
2458099.546816,2017-12-12.046,bq,1.61,NA,9.186,0.037,NA,NA,g
2458100.542951,2017-12-13.042,bq,1.51,NA,9.234,0.037,NA,NA,g
2458180.007640,2018-3-2.507,bq,1.69,NA,9.212,0.037,NA,NA,g
2458181.004274,2018-3-3.504,bq,1.58,NA,9.164,0.037,NA,NA,g
2458184.991287,2018-3-7.491,bq,1.46,NA,9.243,0.037,NA,NA,g
2458196.980361,2018-3-19.48,bq,1.62,NA,9.217,0.037,NA,NA,g
2458197.983957,2018-3-20.483,bq,1.68,NA,9.255,0.037,NA,NA,g
2458199.972833,2018-3-22.472,bq,1.45,NA,9.244,0.037,NA,NA,g
2458206.954751,2018-3-29.454,bq,2.46,NA,9.128,0.037,NA,NA,g
2458207.950503,2018-3-30.45,bq,1.65,NA,9.254,0.037,NA,NA,g
2458208.947531,2018-3-31.447,bq,1.55,NA,9.209,0.037,NA,NA,g
2458213.933895,2018-4-5.433,bq,1.55,NA,9.193,0.037,NA,NA,g
2458216.928675,2018-4-8.428,bq,1.54,NA,9.227,0.037,NA,NA,g
2458217.922107,2018-4-9.422,bq,1.52,NA,9.206,0.037,NA,NA,g
2458228.896414,2018-4-20.396,bq,1.66,NA,9.212,0.037,NA,NA,g
2458231.941949,2018-4-23.441,bq,1.53,NA,9.243,0.037,NA,NA,g
2458231.946829,2018-4-23.446,bq,1.57,NA,9.238,0.037,NA,NA,g
2458231.951715,2018-4-23.451,bq,1.51,NA,9.249,0.037,NA,NA,g
2458231.962687,2018-4-23.462,bq,1.53,NA,9.228,0.037,NA,NA,g
2458232.891236,2018-4-24.391,bq,1.47,NA,9.197,0.037,NA,NA,g
2458234.880984,2018-4-26.38,bq,1.59,NA,9.215,0.037,NA,NA,g
2458240.855090,2018-5-2.355,bq,1.59,NA,9.220,0.037,NA,NA,g
2458244.849659,2018-5-6.349,bq,1.53,NA,9.194,0.037,NA,NA,g
2458247.846697,2018-5-9.346,bq,1.56,NA,9.180,0.037,NA,NA,g
2458249.827244,2018-5-11.327,bq,1.53,NA,9.207,0.037,NA,NA,g
2458250.852155,2018-5-12.352,bq,1.57,NA,9.145,0.037,NA,NA,g
2458253.823442,2018-5-15.323,bq,1.52,NA,9.254,0.037,NA,NA,g
2458255.808013,2018-5-17.308,bq,1.53,NA,9.200,0.037,NA,NA,g
2458257.805347,2018-5-19.305,bq,1.5,NA,9.230,0.037,NA,NA,g
2458258.802132,2018-5-20.302,bq,1.49,NA,9.213,0.037,NA,NA,g
2458264.783013,2018-5-26.283,bq,1.57,NA,9.181,0.037,NA,NA,g
2458266.857128,2018-5-28.357,bq,1.53,NA,9.234,0.037,NA,NA,g
2458267.821610,2018-5-29.321,bq,1.75,NA,9.214,0.037,NA,NA,g
2458268.769691,2018-5-30.269,bq,1.54,NA,9.237,0.037,NA,NA,g
2458269.797149,2018-5-31.297,bq,1.59,NA,9.238,0.037,NA,NA,g
2458270.767592,2018-6-1.267,bq,1.53,NA,9.250,0.037,NA,NA,g
2458271.776158,2018-6-2.276,bq,1.54,NA,9.135,0.037,NA,NA,g
2458281.734724,2018-6-12.234,bq,1.5,NA,9.207,0.037,NA,NA,g
2458282.902534,2018-6-13.402,bq,2.38,NA,9.190,0.037,NA,NA,g
2458295.794117,2018-6-26.294,bq,1.58,NA,9.239,0.037,NA,NA,g
2458304.711678,2018-7-5.211,bq,1.49,NA,9.230,0.037,NA,NA,g
2458318.907745,2018-7-19.407,bq,1.5,NA,9.187,0.037,NA,NA,g
2458335.830899,2018-8-5.33,bq,1.47,NA,9.153,0.037,NA,NA,g
2458338.794419,2018-8-8.294,bq,1.47,NA,9.209,0.037,NA,NA,g
2458356.860854,2018-8-26.36,bq,1.6,NA,9.152,0.037,NA,NA,g
2458362.796286,2018-9-1.296,bq,1.49,NA,9.219,0.037,NA,NA,g
2458372.821242,2018-9-11.321,bq,1.49,NA,9.209,0.037,NA,NA,g
2458385.735222,2018-9-24.235,bq,1.5,NA,9.207,0.037,NA,NA,g
2458394.667956,2018-10-3.167,bq,2.44,NA,9.045,0.037,NA,NA,g
2458396.621670,2018-10-5.121,bq,1.47,NA,9.228,0.037,NA,NA,g
2458417.693405,2018-10-26.193,bq,1.54,NA,9.199,0.037,NA,NA,g
2458425.668504,2018-11-3.168,bq,1.58,NA,9.142,0.037,NA,NA,g
2458426.593569,2018-11-4.093,bq,2.25,NA,9.032,0.037,NA,NA,g
2458428.659417,2018-11-6.159,bq,1.55,NA,9.149,0.037,NA,NA,g
2458429.659217,2018-11-7.159,bq,1.65,NA,9.012,0.037,NA,NA,g
2458430.647650,2018-11-8.147,bq,2.16,NA,8.956,0.037,NA,NA,g
2458431.646941,2018-11-9.146,bq,1.49,NA,9.149,0.037,NA,NA,g
2458437.633589,2018-11-15.133,bq,1.53,NA,9.133,0.037,NA,NA,g
2458438.618668,2018-11-16.118,bq,1.48,NA,9.164,0.037,NA,NA,g
2458443.617280,2018-11-21.117,bq,1.47,NA,9.154,0.037,NA,NA,g
2458450.597916,2018-11-28.097,bq,1.66,NA,9.045,0.037,NA,NA,g
2458453.591373,2018-12-1.091,bq,1.64,NA,9.148,0.037,NA,NA,g
2458455.582738,2018-12-3.082,bq,1.52,NA,9.162,0.037,NA,NA,g
2458456.553128,2018-12-4.053,bq,2.01,NA,8.999,0.037,NA,NA,g
2458457.556918,2018-12-5.056,bq,1.54,NA,9.130,0.037,NA,NA,g
2458546.019158,2019-3-3.519,bq,1.63,NA,9.120,0.037,NA,NA,g
2458561.979541,2019-3-19.479,bq,1.54,NA,9.161,0.037,NA,NA,g
2458577.912381,2019-4-4.412,bq,1.52,NA,9.167,0.037,NA,NA,g
2458578.910251,2019-4-5.41,bq,1.54,NA,9.215,0.037,NA,NA,g
2458579.915739,2019-4-6.415,bq,1.56,NA,9.162,0.037,NA,NA,g
2458581.908782,2019-4-8.408,bq,1.48,NA,9.197,0.037,NA,NA,g
2458582.906015,2019-4-9.406,bq,1.47,NA,9.167,0.037,NA,NA,g
2458585.970234,2019-4-12.47,bq,1.49,NA,9.147,0.037,NA,NA,g
2458590.887111,2019-4-17.387,bq,1.48,NA,9.222,0.037,NA,NA,g
2458600.846610,2019-4-27.346,bq,1.55,NA,9.168,0.037,NA,NA,g
2458601.847001,2019-4-28.347,bq,1.49,NA,9.226,0.037,NA,NA,g
2458605.878289,2019-5-2.378,bq,1.49,NA,9.180,0.037,NA,NA,g
2458607.824028,2019-5-4.324,bq,1.43,NA,9.156,0.037,NA,NA,g
2458608.837109,2019-5-5.337,bq,1.49,NA,9.235,0.037,NA,NA,g
2458618.796530,2019-5-15.296,bq,1.48,NA,9.180,0.037,NA,NA,g
2458619.795791,2019-5-16.295,bq,1.46,NA,9.152,0.037,NA,NA,g
2458627.790380,2019-5-24.29,bq,1.48,NA,9.244,0.037,NA,NA,g
2458636.919376,2019-6-2.419,bq,1.75,NA,9.138,0.037,NA,NA,g
2458638.887874,2019-6-4.387,bq,1.48,NA,9.267,0.037,NA,NA,g
2458646.821891,2019-6-12.321,bq,1.53,NA,9.165,0.037,NA,NA,g
2458659.719558,2019-6-25.219,bq,1.5,NA,9.234,0.037,NA,NA,g
2458660.772247,2019-6-26.272,bq,1.51,NA,9.259,0.037,NA,NA,g
2458668.932640,2019-7-4.432,bq,1.52,NA,9.235,0.037,NA,NA,g
2458685.954449,2019-7-21.454,bq,1.5,NA,9.215,0.037,NA,NA,g
2458688.858972,2019-7-24.358,bq,1.54,NA,9.215,0.037,NA,NA,g
2458695.727577,2019-7-31.227,bq,1.51,NA,9.214,0.037,NA,NA,g
2458697.763318,2019-8-2.263,bq,1.49,NA,9.252,0.037,NA,NA,g
2458698.779806,2019-8-3.279,bq,1.48,NA,9.176,0.037,NA,NA,g
2458716.697863,2019-8-21.197,bq,1.61,NA,9.228,0.037,NA,NA,g
2458730.658888,2019-9-4.158,bq,1.5,NA,9.142,0.037,NA,NA,g
2458731.719785,2019-9-5.219,bq,1.48,NA,9.216,0.037,NA,NA,g
2458757.678887,2019-10-1.178,bq,1.46,NA,9.237,0.037,NA,NA,g
2458762.750547,2019-10-6.25,bq,1.51,NA,9.154,0.037,NA,NA,g
2458764.752459,2019-10-8.252,bq,1.52,NA,9.179,0.037,NA,NA,g
2458767.748379,2019-10-11.248,bq,1.48,NA,9.073,0.037,NA,NA,g
2458783.665932,2019-10-27.165,bq,1.49,NA,9.210,0.037,NA,NA,g
2458784.650715,2019-10-28.15,bq,1.53,NA,9.199,0.037,NA,NA,g
2458786.691532,2019-10-30.191,bq,1.52,NA,9.143,0.037,NA,NA,g
2458788.690387,2019-11-1.19,bq,1.61,NA,9.153,0.037,NA,NA,g
2458789.689926,2019-11-2.189,bq,1.99,NA,9.444,0.037,NA,NA,g
2458803.636236,2019-11-16.136,bq,1.67,NA,9.113,0.037,NA,NA,g
2458805.625270,2019-11-18.125,bq,1.49,NA,9.180,0.037,NA,NA,g
2458818.575408,2019-12-1.075,bq,1.73,NA,9.156,0.037,NA,NA,g
2458819.601391,2019-12-2.101,bq,1.54,NA,9.167,0.037,NA,NA,g
2458820.595236,2019-12-3.095,bq,1.57,NA,9.165,0.037,NA,NA,g
2458821.575532,2019-12-4.075,bq,1.5,NA,9.163,0.037,NA,NA,g
2458821.591276,2019-12-4.091,bq,1.47,NA,9.167,0.037,NA,NA,g
2458824.553163,2019-12-7.053,bq,1.66,NA,8.981,0.037,NA,NA,g
2458825.534718,2019-12-8.034,bq,1.58,NA,9.055,0.037,NA,NA,g
2458830.552796,2019-12-13.052,bq,2.13,NA,9.180,0.037,NA,NA,g
2458831.550456,2019-12-14.05,bq,1.67,NA,9.034,0.037,NA,NA,g
2458832.547018,2019-12-15.047,bq,2.18,NA,9.015,0.037,NA,NA,g
2458833.543483,2019-12-16.043,bq,1.53,NA,9.131,0.037,NA,NA,g
2458905.005274,2020-2-25.505,bq,1.56,NA,9.221,0.037,NA,NA,g
2458926.964026,2020-3-18.464,bq,1.47,NA,9.219,0.037,NA,NA,g
2458991.808936,2020-5-22.308,bq,1.47,NA,9.245,0.037,NA,NA,g
2459010.752868,2020-6-10.252,bq,1.5,NA,9.271,0.037,NA,NA,g
2459014.705882,2020-6-14.205,bq,1.54,NA,9.263,0.037,NA,NA,g
2459016.769348,2020-6-16.269,bq,1.47,NA,9.218,0.037,NA,NA,g
2459017.713474,2020-6-17.213,bq,1.53,NA,9.277,0.037,NA,NA,g
2459022.703770,2020-6-22.203,bq,1.51,NA,9.226,0.037,NA,NA,g
2459023.689052,2020-6-23.189,bq,1.46,NA,9.256,0.037,NA,NA,g
2459040.677486,2020-7-10.177,bq,1.54,NA,9.208,0.037,NA,NA,g
2459045.760057,2020-7-15.26,bq,1.46,NA,9.208,0.037,NA,NA,g
2459046.801864,2020-7-16.301,bq,1.47,NA,9.232,0.037,NA,NA,g
2459058.849715,2020-7-28.349,bq,1.5,NA,9.248,0.037,NA,NA,g
2459059.837368,2020-7-29.337,bq,1.48,NA,9.195,0.037,NA,NA,g
2459066.827849,2020-8-5.327,bq,1.58,NA,9.239,0.037,NA,NA,g
2459069.689194,2020-8-8.189,bq,1.52,NA,9.218,0.037,NA,NA,g
2459080.852557,2020-8-19.352,bq,1.46,NA,9.102,0.037,NA,NA,g
2459081.844122,2020-8-20.344,bq,1.49,NA,9.216,0.037,NA,NA,g
2459084.890901,2020-8-23.39,bq,1.47,NA,9.167,0.037,NA,NA,g
2459091.793194,2020-8-30.293,bq,1.55,NA,9.178,0.037,NA,NA,g
2459125.766054,2020-10-3.266,bq,1.51,NA,9.238,0.037,NA,NA,g
2459155.668403,2020-11-2.168,bq,1.51,NA,9.169,0.037,NA,NA,g
2459157.660467,2020-11-4.16,bq,1.52,NA,9.139,0.037,NA,NA,g
2459193.561407,2020-12-10.061,bq,1.53,NA,9.174,0.037,NA,NA,g
2459201.548206,2020-12-18.048,bq,1.7,NA,9.041,0.037,NA,NA,g
2459203.566463,2020-12-20.066,bq,1.65,NA,9.163,0.037,NA,NA,g
2459340.823890,2021-5-6.323,bq,1.46,NA,9.279,0.037,NA,NA,g
2459351.786970,2021-5-17.286,bq,1.53,NA,9.328,0.037,NA,NA,g
2459380.919667,2021-6-15.419,bq,1.69,NA,9.167,0.037,NA,NA,g
2459382.719555,2021-6-17.219,bq,1.5,NA,9.321,0.037,NA,NA,g
2459382.792041,2021-6-17.292,bq,1.5,NA,9.270,0.037,NA,NA,g
2459382.876473,2021-6-17.376,bq,1.48,NA,9.261,0.037,NA,NA,g
2459404.920833,2021-7-9.42,bq,1.46,NA,9.202,0.037,NA,NA,g
2459424.887382,2021-7-29.387,bq,2.18,NA,9.230,0.037,NA,NA,g
2459427.788724,2021-8-1.288,bq,1.51,NA,9.184,0.037,NA,NA,g
2459431.796695,2021-8-5.296,bq,1.45,NA,9.223,0.037,NA,NA,g
2459453.679313,2021-8-27.179,bq,1.51,NA,9.139,0.037,NA,NA,g
2459464.838949,2021-9-7.338,bq,1.5,NA,9.198,0.037,NA,NA,g
2459496.633391,2021-10-9.133,bq,1.46,NA,9.195,0.037,NA,NA,g
2459506.685282,2021-10-19.185,bq,1.59,NA,9.148,0.037,NA,NA,g
2459507.688561,2021-10-20.188,bq,1.61,NA,9.137,0.037,NA,NA,g
2459528.652317,2021-11-10.152,bq,1.46,NA,9.157,0.037,NA,NA,g
2459528.675101,2021-11-10.175,bq,1.5,NA,9.177,0.037,NA,NA,g
2459539.641742,2021-11-21.141,bq,1.53,NA,9.190,0.037,NA,NA,g
2459549.617779,2021-12-1.117,bq,1.56,NA,9.138,0.037,NA,NA,g
2459551.596060,2021-12-3.096,bq,1.58,NA,9.250,0.037,NA,NA,g
2459556.553729,2021-12-8.053,bq,1.53,NA,9.157,0.037,NA,NA,g
2459569.563069,2021-12-21.063,bq,1.53,NA,9.119,0.037,NA,NA,g
2459572.542455,2021-12-24.042,bq,1.66,NA,9.109,0.037,NA,NA,g
2459623.029672,2022-2-12.529,bq,2.1,NA,8.971,0.037,NA,NA,g
2459625.023040,2022-2-14.523,bq,1.49,NA,9.182,0.037,NA,NA,g
2459629.013618,2022-2-18.513,bq,1.59,NA,9.184,0.037,NA,NA,g
2459658.941440,2022-3-20.441,bq,1.52,NA,9.192,0.037,NA,NA,g
2459704.956769,2022-5-5.456,bq,1.56,NA,9.288,0.037,NA,NA,g
2459705.949808,2022-5-6.449,bq,1.6,NA,9.167,0.037,NA,NA,g
2459720.880431,2022-5-21.38,bq,1.48,NA,9.143,0.037,NA,NA,g
2459736.731127,2022-6-6.231,bq,1.5,NA,9.248,0.037,NA,NA,g
2459760.705768,2022-6-30.205,bq,1.64,NA,9.171,0.037,NA,NA,g
2459760.721151,2022-6-30.221,bq,1.52,NA,9.249,0.037,NA,NA,g
2459761.641599,2022-7-1.141,bq,1.55,NA,9.396,0.037,NA,NA,g
2459768.783667,2022-7-8.283,bq,1.6,NA,9.232,0.037,NA,NA,g
2459769.705059,2022-7-9.205,bq,1.58,NA,9.207,0.037,NA,NA,g
2459769.720177,2022-7-9.22,bq,1.51,NA,9.104,0.037,NA,NA,g
2459770.656120,2022-7-10.156,bq,1.51,NA,9.225,0.037,NA,NA,g
2459770.693957,2022-7-10.193,bq,1.51,NA,9.201,0.037,NA,NA,g
2459779.959881,2022-7-19.459,bq,1.54,NA,9.188,0.037,NA,NA,g
2459780.682881,2022-7-20.182,bq,1.6,NA,9.141,0.037,NA,NA,g
2459783.681779,2022-7-23.181,bq,1.98,NA,9.135,0.037,NA,NA,g
2459784.653660,2022-7-24.153,bq,2.01,NA,9.108,0.037,NA,NA,g
2459792.673219,2022-8-1.173,bq,1.47,NA,9.204,0.037,NA,NA,g
2459793.632292,2022-8-2.132,bq,2.14,NA,9.050,0.037,NA,NA,g
2459796.685234,2022-8-5.185,bq,1.5,NA,9.286,0.037,NA,NA,g
2459801.652280,2022-8-10.152,bq,2.18,NA,8.999,0.037,NA,NA,g
2459804.712621,2022-8-13.212,bq,1.56,NA,9.125,0.037,NA,NA,g
2459806.671303,2022-8-15.171,bq,1.47,NA,9.179,0.037,NA,NA,g
2459833.622293,2022-9-11.122,bq,2.01,NA,8.972,0.037,NA,NA,g
2459835.627395,2022-9-13.127,bq,1.5,NA,9.209,0.037,NA,NA,g
2459838.745586,2022-9-16.245,bq,1.56,NA,9.130,0.037,NA,NA,g
2459839.745732,2022-9-17.245,bq,1.5,NA,9.165,0.037,NA,NA,g
2459840.669700,2022-9-18.169,bq,1.5,NA,9.304,0.037,NA,NA,g
2459844.691221,2022-9-22.191,bq,1.53,NA,9.241,0.037,NA,NA,g
2459846.628611,2022-9-24.128,bq,1.5,NA,9.198,0.037,NA,NA,g
2459850.684030,2022-9-28.184,bq,1.44,NA,9.223,0.037,NA,NA,g
2459851.692164,2022-9-29.192,bq,1.48,NA,9.302,0.037,NA,NA,g
2459881.669525,2022-10-29.169,bq,1.46,NA,9.273,0.037,NA,NA,g
2459882.683918,2022-10-30.183,bq,1.63,NA,9.138,0.037,NA,NA,g
2459884.688941,2022-11-1.188,bq,1.47,NA,9.149,0.037,NA,NA,g
2459885.674695,2022-11-2.174,bq,1.54,NA,9.202,0.037,NA,NA,g
2459886.666947,2022-11-3.166,bq,1.49,NA,9.160,0.037,NA,NA,g
2459888.665549,2022-11-5.165,bq,1.65,NA,9.126,0.037,NA,NA,g
2459890.657441,2022-11-7.157,bq,1.58,NA,9.188,0.037,NA,NA,g
2459918.600290,2022-12-5.1,bq,1.56,NA,9.217,0.037,NA,NA,g
2459927.584884,2022-12-14.084,bq,2.04,NA,9.398,0.037,NA,NA,g
2459929.559215,2022-12-16.059,bq,1.61,NA,9.115,0.037,NA,NA,g
2459933.566745,2022-12-20.066,bq,1.6,NA,9.215,0.037,NA,NA,g
2459935.556752,2022-12-22.056,bq,1.67,NA,9.083,0.037,NA,NA,g
2459991.023336,2023-2-15.523,bq,1.62,NA,9.164,0.037,NA,NA,g
2459992.031322,2023-2-16.531,bq,2.43,NA,9.124,0.037,NA,NA,g
2459999.997481,2023-2-24.497,bq,2.03,NA,9.147,0.037,NA,NA,g
2460054.942135,2023-4-20.442,bq,1.56,NA,9.185,0.037,NA,NA,g
2460056.857701,2023-4-22.357,bq,1.54,NA,9.258,0.037,NA,NA,g
2460069.856781,2023-5-5.356,bq,1.45,NA,9.169,0.037,NA,NA,g
2460071.816910,2023-5-7.316,bq,1.5,NA,9.220,0.037,NA,NA,g
2460071.820622,2023-5-7.32,bq,1.54,NA,9.232,0.037,NA,NA,g
2460072.809985,2023-5-8.309,bq,1.5,NA,9.218,0.037,NA,NA,g
2460073.802627,2023-5-9.302,bq,1.52,NA,9.242,0.037,NA,NA,g
2460073.843677,2023-5-9.343,bq,1.52,NA,9.220,0.037,NA,NA,g
2460076.882165,2023-5-12.382,bq,1.46,NA,9.238,0.037,NA,NA,g
2460093.866294,2023-5-29.366,bq,1.45,NA,9.259,0.037,NA,NA,g
2460094.870184,2023-5-30.37,bq,1.51,NA,9.193,0.037,NA,NA,g
